PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40751339,"Patient-Reported Outcomes for Patients With Metastatic NSCLC Treated at an Academic Medical Center, 2017-2021.",2025-Aug,Melissa L Santorelli; Thomas Burke,merck,
40751114,Bispecific Antibodies in Hematologic Malignancies: Attacking the Frontline.,2025-Aug-01,Asaad Trabolsi; Artavazd Arumov; Jonathan H Schatz,Sylvester Comprehensive Cancer Center,
40750932,Pembrolizumab plus axitinib versus sunitinib for advanced clear cell renal cell carcinoma: 5-year survival and biomarker analyses of the phase 3 KEYNOTE-426 trial.,2025-Aug-01,Rustem Gafanov; Dmitry Nosov; Boris Alekseev; Ihor Vynnychenko; Sterling Wu; Julia Markensohn; Yiwei Zhang; Andrey Loboda; Amir Vajdi; Rodolfo F Perini; Joseph Burgents,Sumy Regional Oncology Center; Moscow; merck,
40750760,Comprehensive assessment of adverse event profiles associated with bispecific antibodies in multiple myeloma.,2025-Aug-01,Mobina Golmohammadi; Maram Albayyadhi; Hossein Sholehrasa; Azam Moradi; Xuan Xu; Majid Jaberi-Douraki,1DATA Consortium and FARARD Program,
40750751,Toward On-Cell NMR Studies of Glycan-Protein Interactions.,2025,Ana Gimeno; Ana Ardá; June Ereño-Orbea; Sara Bertuzzi; Luca Unione; Jesús Jiménez-Barbero,Center for Cooperative Research in Biosciences (CIC bioGUNE),
40750746,Exploring the Conformational Changes and Dynamics of Mucins in Their Free State and in Complex with Mucin-Binding Proteins Using NMR.,2025,Francisco Corzana,Spain. francisco.corzana@unirioja.es.,
40750675,Synergistic H&E and IHC image analysis by AI predicts cancer biomarkers and survival outcomes in colorectal and breast cancer.,2025-Aug-01,Ming Chen; George W Sledge,USA. mchen@carisls.com.; USA. gsledge@carisls.com.,
40750653,Design specifications for biomedical virtual twins in engineered adoptive cellular immunotherapies.,2025-Aug-01,Guillaume Azarias; Jay R Hydren; Markus Rückert; Olaf Penack; Andreas Schmidt; Carol Ward; Carl Steinbeisser; Thomas Neumuth; Stefan Franke,Innovation Center Computer Assisted Surgery; Oncology and Tumorimmunology; Collaborate Project Management; Cologne; TriNetX Oncology GmbH; Singleron Biotechnologies GmbH; roche; HealthTree Foundation Inc.,
40750497,Continuous Androgen Deprivation Therapy with or Without Metastasis-directed Therapy for Oligometastatic Prostate Cancer: The Multicenter Phase 2 Randomized EXTEND Trial.,2025-Jul-31,Alexander D Sherry; Aaron Seo; Stephen G Chun; Lauren L Mayo; Henry Mok; Ryan J Park; Ryan M Phillips; Seungtaek L Choi; Chad Tang,roche; Division of Radiation Oncology,
40750462,Cost-Effectiveness of Perioperative Nivolumab for Stage III Non-Small-Cell Lung Cancer: A Perspective From The United States.,2025-Aug-01,Na Zhang; Ziyu Dai,China. Electronic address: ziyuudai@163.com.; Hunan Province 410078,
40750422,Clinical Evaluation of Immune Cell Therapy in Esophageal Cancer Resistant to Immunochemotherapy.,2025-Aug,Rishu Takimoto,takimoto@j-immunother.com.,
40750411,"Combination of 3-(Trihydroxygermyl)propanoic Acid (THGP) and Lipopolysaccharide Promotes Macrophage Differentiation to M1, and Antitumor Activity.",2025-Aug,Junya Azumi; Tomoya Takeda; Yasuhiro Shimada; Hisashi Aso; Hiroyuki Inagawa; Takashi Nakamura,Control of Innate Immunity; Ltd.; j.azumi@asai-ge.co.jp.; Collaborative Innovation Partnership,
40750399,Rash and Endocrine Disorders Predict Improved Survival in Metastatic Renal Cell Carcinoma Treated With Immunotherapy.,2025-Aug,Takehiro Iwata; Kensuke Bekku; Motoo Araki,and Pharmaceutical Sciences,
40750231,Evaluation of the Neutrophil-Based Inflammatory Indexes SIRI and NHR in Patients with Extensive-Stage Small Cell Lung Cancer Receiving First-Line Immune Checkpoint Inhibitors Plus Chemotherapy.,2025-May,Yan Yang,China qiannianhupo@163.com.,
40750087,Lactylation: A new direction for tumor-targeted therapy.,2025-Jul-30,Xuyu Zu; Jianbo Feng,China. Electronic address: fengjianbobody@126.com.; China. Electronic address: zuxuyu0108@hotmail.com.,
